X,Y,FID,solmutunnu,linjoja,lyhyt_nro,nimi_s,nimi_r,nousijat,nettiosoit,P_koord,I_koord
25.068578465076218,60.325421206317579,8418,4740220,1,V7420,Rasinrinne,Brakbrinken,6,http://aikataulut.hsl.fi/pysakit/fi/4740220.html,6690948,2559217
24.995077335205796,60.295850301202769,8419,4680256,0,V6856,Niittytie 14,Ängsvägen 14,0,http://aikataulut.hsl.fi/pysakit/fi/4680256.html,6687590,2555206
24.960314054427808,60.307990063218185,8420,4530221,7,V5321,Teknikontie,Teknikervägen,198,http://aikataulut.hsl.fi/pysakit/fi/4530221.html,6688914,2553264
24.964491334326382,60.269246720856621,8421,4500220,0,V5020,Tammistonkatu,Tammistogatan,0,http://aikataulut.hsl.fi/pysakit/fi/4500220.html,6684601,2553558
25.057338907079135,60.346164695230023,8422,4810218,0,V8118,Laulurastaantie,Taltrastvägen,0,http://aikataulut.hsl.fi/pysakit/fi/4810218.html,6693249,2558559
25.069841572048517,60.325850887286578,8423,4740221,1,V7421,Rasinrinne,Brakbrinken,9,http://aikataulut.hsl.fi/pysakit/fi/4740221.html,6690997,2559286
24.997408258086047,60.292816946135218,8424,4680257,0,V6857,Niittytie 13,Ängsvägen 13,0,http://aikataulut.hsl.fi/pysakit/fi/4680257.html,6687254,2555340
24.962429034551334,60.30854917906337,8425,4530222,0,V5322,Teknikontie,Teknikervägen,11,http://aikataulut.hsl.fi/pysakit/fi/4530222.html,6688978,2553380
24.971963476469227,60.279927507292882,8426,4500221,3,V5021,Voimakuja,Kraftgränden,12,http://aikataulut.hsl.fi/pysakit/fi/4500221.html,6685797,2553954
25.055353155989316,60.357023454756593,8427,4810219,3,V8119,Vierumäen koulu,Vierumäen koulu,32,http://aikataulut.hsl.fi/pysakit/fi/4810219.html,6694457,2558430
25.071479246262523,60.315614027774217,8428,4740222,1,V7422,Hanabölentie,Hanabölevägen,2,http://aikataulut.hsl.fi/pysakit/fi/4740222.html,6689858,2559395
